,n,token,lemma,pos
0,1,ʼξʼονοταζόμεναι,,v-pppefn-
1,2,ἀρθέντʼ,,a-s---ma-
2,3,ἀφίκτωρ,ἀφίκτωρ,n-s---mn-
3,4,ἐπίδοι,ἐφοράω,v3saoa---
4,5,προφρόνως,πρόφρων,d--------
5,1,στόλον,στόλος,n-s---ma-
6,2,ἡμέτερον,ἡμέτερος,a-s---ma-
7,3,νάιον,νήϊος,a-s---ma-
8,4,Ζεὺς,Ζεύς,n-s---mn-
9,1,ἀπὸ,ἀπό,r--------
10,2,προστομίων,,a-p---mg-
11,3,λεπτοψαμάθων,,n-s---mn-
12,1,Νείλου,Νεῖλος,n-s---mg-
13,2,.,.,u--------
14,3,Δίαν,,n-s---fa-
15,4,δὲ,δέ,g--------
16,5,λιποῦσαι,,v-pppafn-
17,1,χθόνα,χθών,n-s---fa-
18,2,σύγχορτον,σύγχορτος,a-s---fa-
19,3,Συρίᾳ,Συρία,n-s---fd-
20,4,φεύγομεν,φεύγω,v1ppia---
21,5,",",",",u--------
22,1,οὔτινʼ,οὔτις,a-s---nd-
23,2,ἐφʼ,,a-s---nd-

