,Unnamed: 0,n,token,lemma,pos
0,0,1,Ζεὺς,Ζεύς,n-s---mn-
1,1,2,μὲν,μέν,g--------
2,2,3,ἀφίκτωρ,ἀφίκτωρ,n-s---mn-
3,3,4,ἐπίδοι,ἐφοράω,v3saoa---
4,4,5,προφρόνως,πρόφρων,d--------
5,5,1,στόλον,στόλος,n-s---ma-
6,6,2,ἡμέτερον,ἡμέτερος,a-s---ma-
7,7,3,νάιον,νήϊος,a-s---ma-
8,8,4,ἀρθέντʼ,ἀραρίσκω,a-s---ma-
9,9,1,ἀπὸ,ἀπό,r--------
10,10,2,προστομίων,προστόμιον,a-p---mg-
11,11,3,λεπτοψαμάθων,λεπτοψάμαθος,n-s---mn-
12,12,1,Νείλου,Νεῖλος,n-s---mg-
13,13,2,.,.,u--------
14,14,3,Δίαν,Δῖος,n-s---fa-
15,15,4,δὲ,δέ,g--------
16,16,5,λιποῦσαι,λείπω,v-pppafn-
17,17,1,χθόνα,χθών,n-s---fa-
18,18,2,σύγχορτον,σύγχορτος,a-s---fa-
19,19,3,Συρίᾳ,Συρία,n-s---fd-
20,20,4,φεύγομεν,φεύγω,v1ppia---
21,21,5,",",",",u--------
22,22,1,οὔτινʼ,οὔτις,a-s---nd-
23,23,2,ἐφʼ,ἐπί,a-s---nd-
24,24,3,αἵματι,αἷμα,n-s---nd-
25,25,4,δημηλασίαν,δημηλασία,n-s---fa-
26,26,1,ψήφῳ,ψῆφος,n-s---fd-
27,27,2,πόλεως,πόλις,n-s---fg-
28,28,3,γνωσθεῖσαν,γιγνώσκω,v-sappfa-
29,29,4,",",",",u--------
30,30,1,ἀλλʼ,ἀλλά,d--------
31,31,2,αὐτογενεῖ,αὐτογενής,a-s---fd-
32,32,3,φυξανορίᾳ,φυξανορία,n-s---fd-
33,33,1,γάμον,γάμος,n-s---ma-
34,34,2,Αἰγύπτου,Αἴγυπτος,n-s---mg-
35,35,3,παίδων,παῖς,n-p---mg-
36,36,4,ἀσεβῆ,ἀσεβής,a-s---ma-
37,37,1,ʼξʼονοταζόμεναι,,v-pppefn-
38,38,2,.,.,u--------
39,39,1,Δαναὸς,Δαναός,n-s---mn-
40,40,2,δὲ,δέ,g--------
41,41,3,πατὴρ,πατήρ,n-s---mn-
42,42,4,καὶ,καί,d--------
43,43,5,βούλαρχος,βούλαρχος,n-s---mn-
44,44,1,καὶ,καί,c--------
45,45,2,στασίαρχος,στασίαρχος,a-s---mn-
46,46,3,τάδε,ὅδε,p-p---na-
47,47,4,πεσσονομῶν,πεσσονομέω,v-sppamn-
48,48,1,κύδιστʼ,κύδιστος,a-p---na-
49,49,2,ἀχέων,ἄχος,n-p---ng-
50,50,3,ἐπέκρανε,ἐπικραίνω,v3saia---
51,51,4,",",",",u--------
52,52,1,φεύγειν,φεύγω,v--pna---
53,53,2,ἀνέδην,ἀνέδην,d--------
54,54,3,διὰ,διά,r--------
55,55,4,κῦμʼ,κῦμα,l-s---ma-
56,56,5,ἅλιον,ἅλιος,a-s---ma-
57,57,6,",",",",u--------
58,58,1,κέλσαι,κέλλω,v--ana---
59,59,2,δʼ,δέ,g--------
60,60,3,Ἄργους,Ἄργος,n-s---ng-
61,61,4,γαῖαν,γῆ,n-s---fa-
62,62,5,",",",",u--------
63,63,6,ὅθεν,ὅθεν,d--------
64,64,7,δὴ,δή,g--------
65,65,1,γένος,γένος,n-s---nn-
66,66,2,ἡμέτερον,ἡμέτερος,a-s---nn-
67,67,3,τῆς,ὁ,l-s---fg-
68,68,4,οἰστροδόνου,οἰστροδίνητος,a-s---fg-
69,69,1,βοὸς,βοῦς,n-s---fg-
70,70,2,ἐξ,ἐκ,r--------
71,71,3,ἐπαφῆς,ἐπαφή,n-s---fg-
72,72,4,κἀξ,ἐκ,r--------
73,73,5,ἐπιπνοίας,ἐπίπνοια,n-s---fg-
74,74,1,Διὸς,Ζεύς,n-s---mg-
75,75,2,εὐχόμενον,εὔχομαι,v-sppema-
76,76,3,τετέλεσται,τελέω,v3srie---
77,77,4,.,.,u--------
78,78,1,τίνʼ,τίνω,p--------
79,79,2,ἂν,ἄν,g--------
80,80,3,οὖν,οὖν,g--------
81,81,4,χώραν,χώρα,n-s---fa-
82,82,5,εὔφρονα,εὔφρων,a-s---fa-
83,83,6,μᾶλλον,μᾶλλον,d--------
84,84,1,τῆσδʼ,ὅδε,p-s---fg-
85,85,2,ἀφικοίμεθα,ἀφικνέομαι,v1pao----
86,86,1,σὺν,σύν,r--------
87,87,2,τοῖσδʼ,ὅδε,p-p---md-
88,88,3,ἱκετῶν,ἱκέτης,n-p---mg-
89,89,4,ἐγχειριδίοις,ἐγχειρίδιος,a-p---nd-
90,90,1,ἐριοστέπτοισι,ἐριόστεπτος,a-p---md-
91,91,2,κλάδοισιν,κλάδος,n-p---md-
92,92,3,;,;,u--------
93,93,1,ὦ,ὦ,i--------
94,94,2,πόλις,πόλις,n-s---fn-
95,95,3,",",",",u--------
96,96,4,ὦ,ὦ,i--------
97,97,5,γῆ,γῆ,n-s---fn-
98,98,6,",",",",u--------
99,99,7,καὶ,καί,d--------
100,100,8,λευκὸν,λευκός,a-s---nn-
101,101,9,ὕδωρ,ὕδωρ,n-s---nn-
102,102,10,",",",",u--------
103,103,1,ὕπατοί,ὕπατος,a-p---mn-
104,104,2,τε,τε,g--------
105,105,3,θεοί,θεός,n-p---mn-
106,106,4,",",",",u--------
107,107,5,καὶ,καί,d--------
108,108,6,βαρύτιμοι,βαρύτιμος,a-p---mn-
109,109,1,χθόνιοι,χθόνιος,a-p---mn-
110,110,2,θήκας,θήκη,n-p---fa-
111,111,3,κατέχοντες,κατέχω,v-pppamn-
112,112,4,",",",",u--------
113,113,1,καὶ,καί,c--------
114,114,2,Ζεὺς,Ζεύς,n-s---mn-
115,115,3,σωτὴρ,σωτήρ,n-s---mn-
116,116,4,τρίτος,τρίτος,a-s---mn-
117,117,5,",",",",u--------
118,118,6,οἰκοφύλαξ,οἰκοφύλαξ,n-s---mn-
119,119,1,ὁσίων,ὅσιος,a-p---mg-
120,120,2,ἀνδρῶν,ἀνήρ,n-p---mg-
121,121,3,",",",",u--------
122,122,4,δέξασθʼ,δείκνυμι,v2pamm---
123,123,5,ἱκέτην,ἱκέτης,n-s---ma-
124,124,1,τὸν,ὁ,l-s---ma-
125,125,2,θηλυγενῆ,θηλυγενής,a-s---ma-
126,126,3,στόλον,στόλος,n-s---ma-
127,127,4,αἰδοίῳ,αἰδοῖος,a-s---nd-
128,128,1,πνεύματι,πνεῦμα,n-s---nd-
129,129,2,χώρας,χώρα,n-s---fg-
130,130,3,·,·,u--------
131,131,4,ἀρσενοπληθῆ,ἀρσενοπληθής,a-s---ma-
132,132,5,δʼ,δέ,g--------
133,133,1,ἑσμὸν,ἑσμός,n-s---ma-
134,134,2,ὑβριστὴν,ὑβριστής,n-s---ma-
135,135,3,Αἰγυπτογενῆ,Αἰγυπτογενής,a-s---ma-
136,136,4,",",",",u--------
137,137,1,πρὶν,πρίν,d--------
138,138,2,πόδα,πούς,n-s---ma-
139,139,3,χέρσῳ,χέρσος,n-s---fd-
140,140,4,τῆ,τῆ,l-s---fd-
141,141,5,δʼ,δέ,g--------
142,142,6,ἐν,ἐν,r--------
143,143,7,ἀσώδει,ἀσώδης,a-s---fd-
144,144,1,θεῖναι,τίθημι,v--ana---
145,145,2,",",",",u--------
146,146,3,ξὺν,σύν,r--------
147,147,4,ὄχῳ,ὄχος,n-s---md-
148,148,5,ταχυήρει,ταχυήρης,a-s---md-
149,149,1,πέμψατε,πέμπω,v2paia---
150,150,2,πόντονδʼ,πόντος,n-s---mn-
151,151,3,·,·,u--------
152,152,4,ἔνθα,ἔνθα,d--------
153,153,5,δὲ,δέ,g--------
154,154,6,λαίλαπι,λαῖλαψ,n-s---fd-
155,155,1,χειμωνοτύπῳ,χειμωνοτύπος,a-s---fd-
156,156,2,",",",",u--------
157,157,3,βροντῇ,βροντή,n-s---fd-
158,158,4,στεροπῇ,στεροπή,n-s---fd-
159,159,5,τʼ,σύ,d--------
160,160,1,ὀμβροφόροισίν,ὀμβροφόρος,a-p---md-
161,161,2,τʼ,σύ,p-d---ma-
162,162,3,ἀνέμοις,ἄνεμος,n-p---md-
163,163,4,ἀγρίας,ἄγριος,a-s---fg-
164,164,1,ἁλὸς,ἅλς2,n-s---fg-
