,line,token
0,2914,ʽἡ
1,5440,ʽἔτυχε
2,5449,ὁπλιτῶν̓
3,7776,ʽτοσοῦτον
4,7790,ἦν̓
5,9906,ʽπλησιαίτατος
6,9908,ἦν̓
7,10431,ʽἦσαν
8,12372,ʽἐτύγχανε
9,13179,ʽοὐ
10,13186,ἄρδειν̓
11,18569,—
12,20152,ʽἐν
13,20156,ἐσμεν̓
14,23771,ʽοὐδὲ
15,23777,ἦν̓
16,26375,ʽδιὰ
17,26390,κατάβασισ̓
18,27638,ʽἐπὶ
19,29475,ʽπολλοὶ
20,29493,ἑταιρῶν̓
21,36291,ʽκαὶ
22,36324,ʽἦν
23,36335,χαράδραν̓
24,36603,ʽμηνοειδὴς
25,36610,ἦν̓
26,37201,ʽπρανὴς
27,37289,ʽἁλίσκεσθαι
28,39464,ʽἦν
29,39470,ἔφερον̓
30,39710,ʽπαρεῖχον
31,39713,ἀγοράν̓
32,40053,ʽἁ̓κούομεν
33,40064,ἐπιθαλαττίων̓
34,44541,[
35,44543,]
36,46489,ʽκαὶ
37,47690,ʽκαὶ
38,49094,ʽοὐ
39,51137,ʽκαὶ
40,52325,ʽὁ
41,52330,ὤν̓
42,53683,ʽἀπεκρίνατο
43,53706,ἀγαθόν̓
44,56528,—
45,56820,ʽἤδη
46,56823,ἐτύγχανεν̓
47,58785,ʽοὐ
48,61866,ʽἐλύπει
49,64208,ʽὑψηλὴ
